,city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
316,5847411,kahului,US,20.89,-156.47,1590173634,75.92,61,20,13.87
317,778707,mehamn,NO,71.04,27.85,1590173712,46.4,52,0,3.36
318,5952370,fernie,CA,49.5,-115.07,1590173461,45.34,75,90,14.99
319,2032614,baruun-urt,MN,46.68,113.28,1590173529,48.61,87,100,20.2
320,2015306,tiksi,RU,71.69,128.87,1590173712,30.74,95,36,7.49
321,1246294,galle,LK,6.04,80.22,1590173712,82.08,86,100,12.53
322,780643,bjornevatn,NO,69.67,29.98,1590173712,50.0,39,47,12.75
323,2058430,whyalla,AU,-33.03,137.58,1590173712,53.6,100,99,8.05
324,3665202,aripuana,BR,-9.17,-60.63,1590173712,89.62,57,74,2.59
325,2028078,aginskoye,RU,51.1,114.53,1590173712,45.59,57,46,7.58
326,2027316,ayan,RU,56.45,138.17,1590173580,38.05,77,0,2.26
327,4931378,bristol,US,41.83,-71.17,1590173713,77.49,41,1,13.87
328,610298,beyneu,KZ,45.32,55.2,1590173713,83.61,16,0,21.47
329,6453331,kristiansund,NO,63.11,7.73,1590173713,57.2,50,100,27.51
330,4033557,tautira,PF,-17.73,-149.15,1590173713,80.29,65,20,4.7
331,3115824,muros,ES,42.78,-9.06,1590173713,67.32,79,86,8.01
332,6620339,karratha,AU,-20.74,116.85,1590173713,63.14,36,48,12.73
333,4983905,albion,US,42.24,-84.75,1590173713,64.96,82,90,3.36
334,3393536,olinda,BR,-8.01,-34.86,1590173713,86.0,70,40,11.41
335,3573374,the valley,AI,18.22,-63.06,1590173713,85.91,66,20,12.75
336,1789462,xihe,CN,31.69,113.47,1590173713,75.2,59,100,3.0
337,1002145,george,ZA,-33.96,22.46,1590173714,57.2,93,75,4.7
338,3389822,salinopolis,BR,-0.61,-47.36,1590173714,83.71,73,94,10.22
339,1632694,pangkalanbuun,ID,-2.68,111.62,1590173714,74.91,96,100,1.77
340,1804169,lengshuijiang,CN,27.69,111.43,1590173714,68.56,83,0,1.48
341,3372472,vila franca do campo,PT,37.72,-25.43,1590173714,64.4,82,40,10.29
342,5063646,beatrice,US,40.27,-96.75,1590173714,63.59,100,90,13.87
343,5856516,ahuimanu,US,21.44,-157.84,1590173714,77.95,61,75,11.41
